Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2026-04-13,71.79,73.02,73.13,71.78,322.05K,-1.16%,322050.0
2026-04-10,72.63,72.79,73.14,72.3,254.41K,-0.44%,254410.0
2026-04-09,72.95,73.5,74.7,72.6,646.74K,-0.42%,646740.0
2026-04-08,73.26,71.78,73.39,71.07,582.81K,-1.31%,582810.0
2026-04-07,74.23,73.53,74.77,73.44,427.18K,1.19%,427180.0
2026-04-06,73.36,73.06,73.55,72.9,455.46K,0.20%,455460.0
2026-04-02,73.21,73.56,73.83,72.7,603.29K,0.77%,603290.0
2026-04-01,72.65,73.04,73.41,71.92,939.52K,-1.74%,939520.0
2026-03-31,73.94,74.74,74.96,72.93,542.94K,-0.98%,542940.0
2026-03-30,74.67,75.95,75.95,74.48,569.19K,-0.88%,569190.0
2026-03-27,75.33,75.54,76.4,75.15,756.63K,-0.17%,756630.0
2026-03-26,75.46,75.11,75.82,74.81,452.13K,0.75%,452130.0
2026-03-25,74.9,74.69,75.27,74.39,370.07K,-0.24%,370070.0
2026-03-24,75.08,74.47,75.89,74.41,432.65K,0.90%,432650.0
2026-03-23,74.41,72.6,74.54,72.34,673.08K,1.46%,673080.0
2026-03-20,73.34,74.04,74.59,73.15,855.62K,-0.56%,855620.0
2026-03-19,73.75,72.77,74.4,72.77,512.45K,1.92%,512450.00000000006
2026-03-18,72.36,72.61,72.61,71.87,194.75K,-0.29%,194750.0
2026-03-17,72.57,72.58,73.25,72.47,300.43K,0.33%,300430.0
2026-03-16,72.33,72.32,72.4,71.69,528.72K,0.25%,528720.0
2026-03-13,72.15,71.89,72.56,71.74,292.33K,0.56%,292330.0
2026-03-12,71.75,72.4,72.86,71.75,513.59K,-0.57%,513590.00000000006
2026-03-11,72.16,71.3,72.21,71.3,876.19K,0.98%,876190.0
2026-03-10,71.46,71.91,72.31,71.38,374.67K,-0.57%,374670.0
2026-03-09,71.87,72.85,72.89,71.82,421.50K,-1.06%,421500.0
2026-03-06,72.64,72.81,73.04,72.26,845.71K,0.22%,845710.0
2026-03-05,72.48,72.86,73.11,72.07,349.27K,-0.22%,349270.0
2026-03-04,72.64,72.64,72.85,71.59,337.10K,-0.10%,337100.0
2026-03-03,72.71,73.21,73.31,71.99,373.74K,-0.14%,373740.0
2026-03-02,72.81,72.5,73.1,71.65,579.41K,2.22%,579410.0
2026-02-27,71.23,70.85,71.34,70.54,245.84K,0.71%,245840.0
2026-02-26,70.73,69.81,71.16,69.49,198.62K,1.04%,198620.0
2026-02-25,70.0,70.05,70.05,69.03,212.07K,0.03%,212070.0
2026-02-24,69.98,70.07,70.35,69.11,302.74K,-0.28%,302740.0
2026-02-23,70.18,70.1,70.77,69.75,275.64K,0.23%,275640.0
2026-02-20,70.02,69.45,70.02,69.24,243.61K,0.70%,243610.0
2026-02-19,69.53,69.5,69.94,69.23,320.78K,0.49%,320780.0
2026-02-18,69.19,69.47,69.9,69.18,264.30K,0.23%,264300.0
2026-02-17,69.03,69.69,69.74,68.29,246.49K,-1.00%,246490.0
2026-02-13,69.73,68.22,69.79,68.21,411.04K,2.54%,411040.0
2026-02-12,68.0,68.24,68.86,67.78,311.46K,-0.21%,311460.0
2026-02-11,68.14,67.77,68.34,67.64,279.04K,1.14%,279040.0
2026-02-10,67.37,67.27,67.59,67.0,234.55K,0.52%,234550.0
2026-02-09,67.02,66.21,67.07,66.11,198.80K,0.04%,198800.0
2026-02-06,66.99,66.53,67.25,66.53,250.19K,0.68%,250190.0
2026-02-05,66.54,65.97,66.58,65.56,222.84K,0.44%,222840.0
2026-02-04,66.25,66.04,66.34,65.28,263.52K,0.35%,263520.0
2026-02-03,66.02,64.83,66.07,64.74,251.46K,2.26%,251460.0
2026-02-02,64.56,64.73,65.02,64.43,392.87K,-1.21%,392870.0
2026-01-30,65.35,65.4,65.84,64.28,304.01K,-0.37%,304010.0
2026-01-29,65.59,65.63,66.08,65.23,305.41K,0.99%,305410.0
2026-01-28,64.95,64.26,65.14,64.23,225.49K,1.25%,225490.0
2026-01-27,64.15,63.54,64.28,63.54,235.45K,0.94%,235450.0
2026-01-26,63.55,64.26,64.48,63.27,267.67K,-0.44%,267670.0
2026-01-23,63.83,63.79,64.2,63.66,320.65K,0.66%,320650.0
2026-01-22,63.41,62.77,63.55,62.7,240.75K,1.37%,240750.0
2026-01-21,62.55,62.39,63.06,62.2,273.34K,1.20%,273340.0
2026-01-20,61.81,62.37,62.72,61.73,409.76K,-0.83%,409760.0
2026-01-16,62.33,61.4,62.33,61.4,698.72K,1.50%,698720.0
2026-01-15,61.41,61.18,61.58,60.83,334.34K,-0.20%,334340.0
2026-01-14,61.53,60.92,61.86,60.92,277.75K,1.07%,277750.0
2026-01-13,60.88,60.3,61.13,60.26,662.07K,1.31%,662070.0
2026-01-12,60.09,60.03,60.36,59.76,415.48K,0.07%,415480.0
2026-01-09,60.05,60.1,60.55,59.81,303.22K,-0.12%,303220.0
2026-01-08,60.12,59.43,60.24,59.29,480.97K,1.47%,480970.0
2026-01-07,59.25,59.42,59.55,59.22,515.40K,-0.19%,515400.0
2026-01-06,59.36,60.73,60.73,59.18,537.42K,-2.26%,537420.0
2026-01-05,60.73,61.79,61.79,59.39,526.12K,-0.72%,526120.0
2026-01-02,61.17,60.44,61.49,60.11,441.51K,1.06%,441510.0
2025-12-31,60.53,60.74,60.8,60.29,228.65K,-0.41%,228650.0
2025-12-30,60.78,60.54,60.85,60.5,180.30K,0.50%,180300.0
2025-12-29,60.48,60.3,60.72,60.3,366.75K,0.48%,366750.0
2025-12-26,60.19,60.4,60.57,60.0,142.50K,-0.50%,142500.0
2025-12-24,60.49,60.5,60.66,60.38,81.74K,-0.07%,81740.0
2025-12-23,60.53,59.81,60.57,59.76,171.24K,1.03%,171240.0
2025-12-22,59.91,59.54,59.91,59.39,309.13K,1.08%,309130.0
2025-12-19,59.27,59.33,59.78,59.27,191.98K,0.10%,191980.0
2025-12-18,59.21,59.65,59.99,59.13,354.26K,-0.54%,354260.0
