Date,Open,High,Low,Close
2014-06-03,24.97,24.97,24.97,24.97
2014-06-04,24.86,24.86,24.86,24.86
2014-06-05,25.05,25.05,25.05,25.05
2014-06-06,25.36,25.36,25.36,25.36
2014-06-09,25.42,25.42,25.42,25.42
2014-06-10,25.58,25.58,25.58,25.58
2014-06-11,25.64,25.64,25.55,25.51
2014-06-12,25.72,25.72,25.68,25.56
2014-06-13,25.45,25.45,25.45,25.45
2014-06-16,25.5,25.5,25.5,25.33
2014-06-17,25.41,25.41,25.41,25.3
2014-06-18,25.27,25.27,25.27,25.27
2014-06-19,25.53,25.6,25.53,25.54
2014-06-20,25.37,25.37,25.37,25.37
2014-06-23,25.34,25.34,25.34,25.34
2014-06-24,25.57,25.65,25.57,25.59
2014-06-25,25.43,25.43,25.32,25.36
2014-06-26,25.44,25.44,25.44,25.44
2014-06-27,25.45,25.45,25.45,25.45
2014-06-30,25.49,25.49,25.49,25.49
2014-07-01,25.62,25.62,25.62,25.66
2014-07-02,25.75,25.8,25.75,25.71
2014-07-03,25.85,25.85,25.85,25.84
2014-07-04,26.0,26.0,26.0,25.85
2014-07-07,25.91,25.94,25.85,25.88
2014-07-08,25.87,25.87,25.87,25.87
2014-07-09,25.85,25.89,25.85,25.92
2014-07-10,25.6,25.63,25.6,25.75
2014-07-11,25.79,25.79,25.79,25.79
2014-07-14,25.98,25.98,25.98,25.98
2014-07-15,25.95,25.95,25.95,25.93
2014-07-16,26.05,26.05,25.92,25.98
2014-07-17,25.9,25.9,25.82,25.77
2014-07-18,25.82,25.82,25.82,25.97
2014-07-21,25.92,25.92,25.92,25.93
2014-07-22,25.9,26.16,25.9,26.29
2014-07-23,26.34,26.36,26.3,26.32
2014-07-24,26.39,26.39,26.39,26.39
2014-07-25,26.37,26.37,26.37,26.28
2014-07-28,26.42,26.43,26.37,26.41
2014-07-29,26.41,26.47,26.41,26.39
2014-07-30,26.24,26.24,26.24,26.24
2014-07-31,26.12,26.12,25.81,25.77
2014-08-01,25.82,25.82,25.82,25.82
2014-08-04,26.0,26.0,26.0,26.0
2014-08-05,25.99,25.99,25.99,25.85
2014-08-06,25.68,25.68,25.68,25.68
2014-08-07,25.6,25.69,25.6,25.57
2014-08-08,25.65,25.65,25.65,25.62
2014-08-11,25.63,25.63,25.63,25.98
2014-08-12,25.98,25.98,25.98,25.93
2014-08-13,26.22,26.22,26.22,26.18
2014-08-14,26.15,26.27,26.15,26.23
2014-08-15,26.19,26.19,26.19,26.11
2014-08-18,26.33,26.33,26.33,26.33
2014-08-19,26.44,26.46,26.44,26.46
2014-08-20,26.49,26.49,26.45,26.5
2014-08-21,26.32,26.44,26.27,26.4
2014-08-22,26.55,26.55,26.29,26.39
2014-08-26,26.55,26.63,26.52,26.61
2014-08-27,26.7,26.71,26.67,26.7
2014-08-28,26.44,26.44,26.44,26.45
2014-08-29,26.6,26.6,26.6,26.54
2014-09-01,26.7,26.7,26.7,26.66
2014-09-02,26.45,26.45,26.45,26.45
2014-09-03,26.79,27.02,26.79,26.84
2014-09-04,26.91,26.94,26.89,26.91
2014-09-05,26.75,26.86,26.61,26.8
2014-09-08,26.9,26.91,26.84,26.8
2014-09-09,26.6,26.6,26.42,26.47
2014-09-10,26.27,26.27,26.18,26.18
2014-09-11,26.19,26.2,26.19,26.16
2014-09-12,26.16,26.16,25.97,25.95
2014-09-15,25.84,25.85,25.84,25.75
2014-09-16,25.92,25.92,25.92,25.92
2014-09-17,25.98,25.98,25.98,25.98
2014-09-18,25.82,25.97,25.82,25.83
2014-09-19,25.91,25.95,25.91,25.95
2014-09-22,25.39,25.39,25.39,25.39
2014-09-23,25.25,25.25,25.25,25.25
2014-09-24,25.42,25.42,25.42,25.43
2014-09-25,25.26,25.26,25.14,25.02
2014-09-26,25.09,25.14,25.09,25.05
2014-09-29,24.86,25.36,24.58,24.65
2014-09-30,24.72,24.75,24.63,24.67
2014-10-01,24.57,24.66,24.45,24.42
2014-10-02,24.3,24.32,24.1,24.09
2014-10-03,24.43,24.43,24.27,24.36
2014-10-06,24.91,24.94,24.91,24.81
2014-10-07,24.85,24.85,24.73,24.79
2014-10-08,24.45,24.45,24.45,24.45
2014-10-09,24.69,24.69,24.69,24.66
2014-10-10,24.5,24.5,24.21,24.06
2014-10-13,24.23,24.23,24.23,24.23
2014-10-14,24.22,24.22,24.08,24.23
2014-10-15,23.84,23.84,23.84,23.77
2014-10-16,23.84,23.84,23.7,23.79
2014-10-17,23.84,24.17,23.79,24.12
2014-10-20,24.2,24.2,24.0,24.0
2014-10-21,23.9,24.04,23.86,24.16
2014-10-22,24.09,24.18,24.04,24.04
2014-10-23,24.09,24.18,24.05,24.1
2014-10-24,24.0,24.16,24.0,24.16
2014-10-27,23.92,23.92,23.7,23.87
2014-10-28,24.14,24.34,24.07,24.36
2014-10-29,24.45,24.45,24.44,24.61
2014-10-30,24.44,24.57,24.34,24.6
2014-10-31,24.82,24.82,24.7,24.69
2014-11-03,24.66,24.7,24.57,24.53
2014-11-04,24.65,24.65,24.63,24.48
2014-11-05,24.45,24.45,24.45,24.35
2014-11-06,24.38,24.39,24.3,24.23
2014-11-07,24.09,24.23,24.09,24.21
2014-11-10,24.41,24.41,24.41,24.41
2014-11-11,24.24,24.24,24.24,24.22
2014-11-12,24.27,24.36,24.27,24.31
2014-11-13,24.37,24.37,24.37,24.22
2014-11-14,24.1,24.29,24.08,24.21
2014-11-17,24.05,24.2,24.05,24.09
2014-11-18,24.1,24.18,24.1,24.17
2014-11-19,24.18,24.18,24.07,24.16
2014-11-20,24.14,24.2,24.14,24.28
2014-11-21,24.27,24.91,24.27,24.71
2014-11-24,24.75,24.77,24.75,24.68
2014-11-25,24.59,24.8,24.54,24.59
2014-11-26,24.54,24.8,24.54,24.82
2014-11-27,24.73,24.73,24.73,24.73
2014-11-28,24.66,24.68,24.66,24.47
2014-12-01,24.16,24.16,24.01,24.02
2014-12-02,24.23,24.23,24.09,24.08
2014-12-03,24.08,24.19,24.08,24.17
2014-12-04,24.35,24.35,24.34,24.17
2014-12-05,24.22,24.22,24.1,24.08
2014-12-08,23.5,24.03,23.5,23.91
2014-12-09,23.66,23.66,23.54,23.55
2014-12-10,23.62,23.62,23.38,23.39
2014-12-11,23.39,23.39,23.14,23.23
2014-12-12,23.0,23.0,22.97,22.83
2014-12-15,22.91,22.93,22.84,22.45
2014-12-16,22.52,22.66,22.14,22.6
2014-12-17,22.43,22.49,22.43,22.71
2014-12-18,23.07,23.2,23.07,23.04
2014-12-19,23.12,23.27,23.09,23.22
2014-12-22,23.5,23.63,23.5,23.48
2014-12-23,23.36,23.36,23.18,23.22
2014-12-24,24.03,24.03,24.03,23.31
2014-12-29,23.54,23.59,23.54,23.59
2014-12-30,23.45,23.45,23.45,23.45
2014-12-31,23.52,23.55,23.52,23.54
2015-01-02,23.55,23.55,23.55,23.21
2015-01-05,22.92,22.92,22.92,22.92
2015-01-06,22.85,22.96,22.77,22.84
2015-01-07,23.15,23.18,23.08,23.12
2015-01-08,23.34,23.67,23.34,23.67
2015-01-09,23.53,23.55,23.48,23.45
2015-01-12,23.44,23.61,23.44,23.37
2015-01-13,23.33,23.73,23.33,23.68
2015-01-14,23.4,23.4,23.4,23.39
2015-01-15,23.5,23.77,23.5,23.51
2015-01-16,23.45,23.45,23.36,23.46
2015-01-19,23.5,23.52,23.49,23.4
2015-01-20,23.6,23.63,23.46,23.48
2015-01-21,23.72,23.84,23.72,23.9
2015-01-22,23.98,24.2,23.98,24.21
2015-01-23,24.41,24.44,24.32,24.33
2015-01-26,24.23,24.23,24.23,24.23
2015-01-27,24.24,24.24,23.99,24.06
2015-01-28,24.39,24.39,24.03,24.0
2015-01-29,23.8,23.88,23.8,23.71
2015-01-30,23.61,23.61,23.55,23.4
2015-02-02,23.59,23.6,23.57,23.7
2015-02-03,23.87,24.09,23.87,24.05
2015-02-04,24.16,24.26,24.16,24.26
2015-02-05,23.96,23.96,23.96,24.15
2015-02-06,24.04,24.04,23.9,23.91
2015-02-09,23.84,23.84,23.84,23.84
2015-02-10,23.94,23.94,23.7,23.73
2015-02-11,23.71,23.71,23.5,23.5
2015-02-12,23.75,23.8,23.61,23.91
2015-02-13,24.21,24.29,24.11,24.24
2015-02-16,24.33,24.33,24.33,24.2
2015-02-17,24.25,24.25,24.09,24.14
2015-02-18,24.14,24.2,24.09,24.12
2015-02-19,24.09,24.15,23.95,24.15
2015-02-20,24.08,24.08,24.08,24.15
2015-02-23,24.16,24.29,24.13,24.18
2015-02-24,24.19,24.46,24.19,24.34
2015-02-25,24.36,24.36,24.3,24.33
2015-02-26,24.32,24.32,24.32,24.34
2015-02-27,24.25,24.4,24.22,24.4
2015-03-02,24.3,24.33,24.18,24.19
2015-03-03,24.02,24.1,24.02,24.07
2015-03-04,24.55,24.55,23.8,23.83
2015-03-05,23.96,23.96,23.86,23.88
2015-03-06,23.88,23.95,23.68,23.56
2015-03-09,23.66,23.74,23.46,23.46
